53941.487000  9.20100
53941.487400  9.18600
53941.487700  9.18800
53941.488100  9.19500
53941.493700  9.19400
53941.494100  9.20200
53941.494400  9.20500
53941.494800  9.19200
53942.510900  9.19500
53942.511300  9.21200
53942.511600  9.20500
53942.512000  9.20600
53942.517400  9.21000
53942.517700  9.21500
53942.518000  9.20500
53942.518400  9.21300
53943.492300  9.19600
53943.492700  9.21000
53943.493000  9.19700
53943.493400  9.19200
53943.498000  9.19000
53943.498300  9.19400
53943.498700  9.18700
53943.499000  9.18900
53946.558080  9.20000
53946.558430  9.20700
53946.558780  9.20100
53946.559120  9.20800
53946.562870  9.21000
53946.563220  9.19600
53946.563570  9.21500
53946.563920  9.20300
53947.503300  9.20700
53947.503600  9.19500
53947.504000  9.19800
53947.504300  9.20000
53947.510400  9.19400
53947.510700  9.21400
53947.511100  9.18300
53947.511400  9.20400
53948.439600  9.60800
53948.441000  9.60100
53948.442500  9.58400
53948.444100  9.55800
53948.450900  9.53500
53948.452600  9.49400
53948.454100  9.52000
53948.455600  9.49500
53948.462300  9.45300
53948.463800  9.48100
53948.465300  9.47500
53948.466700  9.40100
53948.473900  9.36900
53948.475300  9.37200
53948.476700  9.39600
53948.478700  9.40400
53948.486900  9.35700
53948.489600  9.34500
53948.491200  9.33000
53948.493000  9.30900
53948.499100  9.29500
53948.501500  9.28500
53948.502800  9.27200
53948.504200  9.27500
53948.510500  9.25300
53948.512000  9.30200
53948.513800  9.24300
53948.515300  9.23100
53948.521300  9.24600
53948.522700  9.25200
53948.524300  9.24200
53948.525600  9.24300
53948.533300  9.20400
53948.534900  9.20700
53948.536800  9.19800
53948.538400  9.19300
53948.544900  9.20400
53948.546400  9.19800
53948.547800  9.20400
53948.549200  9.21400
53951.495607  9.19300
53951.495955  9.19500
53951.496302  9.19500
53951.496649  9.19900
53951.500399  9.19600
53951.500746  9.19000
53951.501094  9.19500
53951.501441  9.19000
53953.468571  9.19800
53953.468918  9.20600
53953.469265  9.19900
53953.469612  9.19500
53953.473756  9.19600
53953.474103  9.19800
53953.474450  9.20900
53953.474797  9.21700
53954.426500  9.21800
53954.426900  9.21200
